timestamp,value
1483200000,34055.6962
1483200600,29814.683539999998
1483201200,29128.10127
1483201800,28228.860760000003
1483202400,27335.6962
1483203000,26624.81013
1483203600,25998.98734
1483204200,25446.07595
1483204800,24777.72152
1483205400,24279.49367
1483206000,23896.70886
1483206600,23544.3038
1483207200,23003.5443
1483207800,22329.11392
1483208400,22092.1519
1483209000,21903.797469999998
1483209600,21685.063290000002
1483210200,21484.556959999998
1483210800,21107.8481
1483211400,20998.48101
1483212000,20870.88608
1483212600,20870.88608
1483213200,20597.46835
1483213800,20421.26582
1483214400,20524.556959999998
1483215000,20482.025319999997
1483215600,20530.63291
1483216200,20512.40506
1483216800,20494.177219999998
1483217400,20311.89873
1483218000,20542.78481
1483218600,20621.77215
1483219200,20627.8481
1483219800,20797.974680000007
1483220400,20858.73418
1483221000,21393.417719999998
1483221600,22219.74684
1483222200,21928.10127
1483222800,21776.202530000002
1483223400,21654.68354
1483224000,21466.32911
1483224600,20846.582280000002
1483225200,19983.797469999998
1483225800,18908.35443
1483226400,18167.08861
1483227000,18075.94937
1483227600,18063.797469999998
1483228200,18045.56962
1483228800,18385.822780000002
1483229400,18987.34177
1483230000,19576.70886
1483230600,19837.974680000007
1483231200,20166.07595
1483231800,20676.4557
1483232400,21296.202530000002
1483233000,22043.5443
1483233600,22651.13924
1483234200,23131.13924
1483234800,23641.51899
1483235400,24668.35443
1483236000,25275.94937
1483236600,25920.0
1483237200,26393.92405
1483237800,26861.77215
1483238400,27511.89873
1483239000,28149.87342
1483239600,28714.93671
1483240200,29043.037969999998
1483240800,29261.77215
1483241400,29474.43038
1483242000,29523.037969999998
1483242600,29711.392410000004
1483243200,29644.55696
1483243800,29802.53165
1483244400,29887.59494
1483245000,30039.49367
1483245600,29966.582280000002
1483246200,29996.962030000002
1483246800,30258.22785
1483247400,30404.05063
1483248000,30094.177219999998
1483248600,30161.012660000004
1483249200,30318.987339999996
1483249800,30154.93671
1483250400,29984.81013
1483251000,30021.26582
1483251600,30021.26582
1483252200,29911.89873
1483252800,29747.8481
1483253400,29705.316460000002
1483254000,29571.64557
1483254600,29553.417719999998
1483255200,29383.291139999998
1483255800,29061.26582
1483256400,28885.06329
1483257000,28854.683539999998
1483257600,28836.4557
1483258200,28708.860760000003
1483258800,28556.962030000002
1483259400,28514.43038
1483260000,28666.329110000002
1483260600,29097.72152
1483261200,29723.5443
1483261800,30871.89873
1483262400,32700.759489999997
1483263000,35793.41772
1483263600,38321.01266
1483264200,39129.113919999996
1483264800,39560.506330000004
1483265400,39517.97468
1483266000,39596.96203
1483266600,39469.36709
1483267200,39682.02532
1483267800,39888.60759
1483268400,39991.89873
1483269000,40210.63291
1483269600,40216.70886
1483270200,40435.44304
1483270800,40514.43038
1483271400,40544.81013
1483272000,40283.5443
1483272600,40216.70886
1483273200,40477.97468
1483273800,40611.64557
1483274400,40435.44304
1483275000,40204.55696
1483275600,39584.81013
1483276200,39274.93671
1483276800,39141.26582
1483277400,38643.03797
1483278000,38011.13924
1483278600,37622.27848
1483279200,36953.92405
1483279800,36394.93671
1483280400,35289.113919999996
1483281000,34438.48101
1483281600,33678.98734
1483282200,33077.46835
1483282800,32117.46835
1483283400,31357.97468000001
1483284000,30701.77215
1483284600,29681.012660000004
1483285200,28830.37975
1483285800,27748.860760000003
1483286400,26703.797469999998
1483287000,26169.11392
1483287600,25622.27848
1483288200,24972.1519
1483288800,24437.46835
1483289400,23914.936709999998
1483290000,23629.36709
1483290600,23118.98734
1483291200,22736.202530000002
1483291800,22049.62025
1483292400,21855.18987
1483293000,21685.063290000002
1483293600,21533.16456
1483294200,21107.8481
1483294800,20986.32911
1483295400,20725.063290000002
1483296000,20889.11392
1483296600,20433.417719999998
1483297200,20372.65823
1483297800,20135.6962
1483298400,20129.62025
1483299000,20117.46835
1483299600,20087.08861
1483300200,19740.75949
1483300800,19831.89873
1483301400,19989.87342
1483302000,20166.07595
1483302600,20214.68354
1483303200,20141.77215
1483303800,20056.70886
1483304400,20257.21519
1483305000,20500.25316
1483305600,20712.91139
1483306200,20810.12658
1483306800,21041.01266
1483307400,21709.36709
1483308000,22742.27848
1483308600,22948.86076
1483309200,23258.73418
1483309800,23471.39241
1483310400,23653.67089
1483311000,23769.11392
1483311600,23380.25316
1483312200,23033.92405
1483312800,22803.037969999998
1483313400,23082.53165
1483314000,22803.037969999998
1483314600,22268.35443
1483315200,22742.27848
1483315800,23526.07595
1483316400,24340.25316
1483317000,24881.01266
1483317600,25190.88608
1483318200,25531.13924
1483318800,25980.75949
1483319400,23495.6962
1483320000,23629.36709
1483320600,24006.07595
1483321200,24771.64557
1483321800,25148.35443
1483322400,25518.98734
1483323000,25695.18987
1483323600,26351.39241
1483324200,26667.34177
1483324800,26794.936709999998
1483325400,27281.012660000004
1483326000,27645.56962
1483326600,27773.16456
1483327200,27894.683539999998
1483327800,28532.65823
1483328400,28818.22785
1483329000,28684.55696
1483329600,28939.746839999996
1483330200,29152.40506
1483330800,29674.93671
1483331400,29826.83544
1483332000,29905.822780000002
1483332600,29990.88608
1483333200,29966.582280000002
1483333800,29881.518989999997
1483334400,29760.0
1483335000,29292.1519
1483335600,29140.253160000004
1483336200,28872.911389999997
1483336800,28672.40506
1483337400,28502.27848
1483338000,28684.55696
1483338600,28617.72152
1483339200,28635.94937
1483339800,28556.962030000002
1483340400,28721.012660000004
1483341000,28696.708860000002
1483341600,29049.11392
1483342200,29255.6962
1483342800,29012.65823
1483343400,29091.64557
1483344000,29030.88608
1483344600,29267.8481
1483345200,29480.50633
1483345800,30161.012660000004
1483346400,31011.64557
1483347000,31029.87342
1483347600,32390.88608
1483348200,33685.06329
1483348800,35659.74684
1483349400,38187.34177
1483350000,40648.10127
1483350600,41565.56962
1483351200,41644.55696
1483351800,41814.68354
1483352400,41766.07595
1483353000,41753.92405
1483353600,41808.60759
1483354200,41699.24051
1483354800,41280.0
1483355400,41583.79747
1483356000,41851.13924
1483356600,41608.10127
1483357200,41395.44304
1483357800,41273.92405
1483358400,40939.74684
1483359000,41249.62025
1483359600,41316.4557
1483360200,41182.78481000001
1483360800,41061.26582
1483361400,40830.37975
1483362000,40830.37975
1483362600,40356.4557
1483363200,39797.46835
1483363800,39116.96203
1483364400,38564.05063
1483365000,38102.27848
1483365600,37792.40506000001
1483366200,37117.97468
1483366800,36218.73418
1483367400,35191.89873
1483368000,34754.43038
1483368600,33909.873419999996
1483369200,32785.82278
1483369800,31916.962030000002
1483370400,30252.1519
1483371000,29346.83544
1483371600,28593.417719999998
1483372200,27779.240510000003
1483372800,26661.26582
1483373400,26150.88608
1483374000,25433.92405
1483374600,24947.8481
1483375200,24540.75949
1483375800,23884.556959999998
1483376400,23422.78481
1483377000,23222.27848
1483377600,22766.582280000002
1483378200,22365.56962
1483378800,22098.22785
1483379400,21946.32911
1483380000,21691.13924
1483380600,21575.6962
1483381200,21502.78481
1483381800,21332.65823
1483382400,21059.24051
1483383000,21065.31646
1483383600,20980.25316
1483384200,20931.64557
1483384800,20658.22785
1483385400,20226.83544
1483386000,20220.75949
1483386600,20330.12658
1483387200,20202.53165
1483387800,19989.87342
1483388400,19989.87342
1483389000,20087.08861
1483389600,20129.62025
1483390200,20299.74684
1483390800,20390.88608
1483391400,20500.25316
1483392000,20755.443040000002
1483392600,20986.32911
1483393200,21454.177219999998
1483393800,22122.53165
1483394400,22954.936709999998
1483395000,23605.063290000002
1483395600,24255.18987
1483396200,24656.202530000002
1483396800,24552.91139
1483397400,24607.59494
1483398000,24534.68354
1483398600,24662.27848
1483399200,24534.68354
1483399800,24151.89873
1483400400,23811.64557
1483401000,23532.1519
1483401600,23884.556959999998
1483402200,24522.53165
1483402800,24874.936709999998
1483403400,25251.64557
1483404000,25871.39241
1483404600,26466.83544
1483405200,27135.18987
1483405800,27997.97468000001
1483406400,28107.34177
1483407000,28417.21519
1483407600,29085.56962
1483408200,29383.291139999998
1483408800,30057.72152
1483409400,30756.4557
1483410000,30932.65823
1483410600,31272.911389999997
1483411200,31844.05063
1483411800,32281.518989999997
1483412400,32749.367089999996
1483413000,32974.17722
1483413600,33004.55696
1483414200,33217.215189999995
1483414800,33332.65823
1483415400,33113.92405
1483416000,33168.60759
1483416600,33751.89873
1483417200,34019.24051
1483417800,34116.4557
